datetime,latitude,longitude
2016-04-01 17:50:15.999000+00:00,6.56321,3.3736495
2016-04-01 18:19:52.355000+00:00,6.5636555,3.3777288
2016-04-01 19:10:52.301000+00:00,6.5490083,3.3859665
2016-04-01 20:34:12.999000+00:00,6.563142,3.3765127
2016-04-01 21:05:29+00:00,6.575702,3.370395
2016-04-01 21:26:07.401000+00:00,6.5661533,3.3775574
2016-04-01 21:26:08.407000+00:00,6.5663343,3.3773326
2016-04-02 01:49:46+00:00,6.5659749,3.377408
2016-04-02 04:26:21.991000+00:00,6.5665563,3.3772488
2016-04-02 04:26:33+00:00,6.5660524,3.3773399
2016-04-02 07:39:55.999000+00:00,6.5740053,3.3730651
2016-04-02 08:32:24.999000+00:00,6.5742545,3.3729503
2016-04-02 08:56:03.488000+00:00,6.5741358,3.3730034
2016-04-02 09:32:15.137000+00:00,6.5631027,3.3749594
2016-04-02 13:01:01.820000+00:00,6.5627919,3.374241
2016-04-02 13:30:35.429000+00:00,6.5639084,3.371006
2016-04-02 13:32:46.299000+00:00,6.5639598,3.3691593
2016-04-02 13:35:25.759000+00:00,6.5661767,3.3688535
2016-04-02 13:37:40.986000+00:00,6.5666994,3.3686938
2016-04-02 13:44:16.441000+00:00,6.5685135,3.3689013
2016-04-02 15:16:35.796000+00:00,6.5741987,3.3730239
2016-04-02 15:16:38+00:00,6.574239,3.3729865
2016-04-02 18:15:40.051000+00:00,6.5776488,3.3712952
2016-04-02 18:19:08.502000+00:00,6.5740943,3.3687434
2016-04-02 18:21:57.187000+00:00,6.5720129,3.3675684
2016-04-02 18:24:40.927000+00:00,6.5723565,3.3660822
2016-04-02 18:26:43.591000+00:00,6.5728462,3.3647019
2016-04-02 18:29:01.296000+00:00,6.5744721,3.3624002
2016-04-02 18:32:46+00:00,6.5772805,3.361271
2016-04-02 18:34:52.694000+00:00,6.576544,3.3615815
2016-04-02 18:38:41.593000+00:00,6.5781578,3.3609023
2016-04-02 18:41:34.999000+00:00,6.57785,3.3610328
2016-04-02 18:43:11.711000+00:00,6.5796854,3.3602529
2016-04-02 18:45:35.100000+00:00,6.5826002,3.3591298
2016-04-02 18:58:17.442000+00:00,6.6152259,3.3584475
2016-04-02 18:58:20+00:00,6.6152226,3.3583321
2016-04-02 19:49:59.636000+00:00,6.6149831,3.3580953
2016-04-02 20:45:13.863000+00:00,6.574229,3.3729438
2016-04-02 21:06:08+00:00,6.5741321,3.3730023
2016-04-02 22:19:44.582000+00:00,6.557434,3.3762007
2016-04-02 22:25:55.999000+00:00,6.5740294,3.3731016
2016-04-02 22:45:01.999000+00:00,6.574008,3.3730549
